part,alpha_deg,beta_deg,pose_id,sim_count,sim_freq_pct,geom_CSA_B_pct,geom_CSA_A_pct,geom_CSA_N_pct,geom_CRSA_B_pct,geom_CRSA_A_pct,geom_CRSA_N_pct,ratio_wall,thresh_wall,ratio_floor,thresh_floor,geom_notes,flagged_unstable_by_geometry
Ql4i,15.0,18.0,13,3,0.16722408026755853,0.0,0.0,0.26,0.0,0.0,0.07,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,18.0,14,6,0.33444816053511706,0.0,0.0,0.27,0.0,0.0,0.09,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,18.0,15,2,0.11148272017837235,0.0,0.0,0.29,0.0,0.0,0.1,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,18.0,16,6,0.33444816053511706,0.0,0.0,0.28,0.0,0.0,0.09,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,18.0,17,18,1.0033444816053512,0.0,0.0,8.46,0.0,0.0,7.58,4.0,2.731,1.056,2.296,TRANSITIONS,True
Ql4i,15.0,18.0,18,170,9.47603121516165,12.15,12.24,3.51,12.25,11.84,4.17,0.25,2.731,0.264,2.296,-,False
Ql4i,15.0,18.0,19,16,0.8918617614269788,0.0,0.0,8.44,0.0,0.0,8.63,3.936,2.731,1.037,2.296,TRANSITIONS,True
Ql4i,15.0,18.0,20,189,10.535117056856187,12.15,12.22,3.51,12.25,12.89,4.17,0.25,2.731,0.264,2.296,-,False
Ql4i,15.0,18.0,21,192,10.702341137123746,12.57,12.63,3.63,12.61,13.16,4.29,0.264,2.731,0.25,2.296,-,False
Ql4i,15.0,18.0,22,18,1.0033444816053512,0.0,0.0,8.47,0.0,0.0,8.13,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,15.0,18.0,23,202,11.259754738015607,12.4,12.32,3.58,12.36,12.43,4.21,0.236,2.731,0.25,2.296,-,False
Ql4i,15.0,18.0,24,20,1.1148272017837235,0.0,0.0,8.72,0.0,0.0,8.77,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,15.0,18.0,-1,206,11.482720178372352,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Ql4i,15.0,20.0,1,175,10.01717229536348,12.57,12.65,3.49,12.59,13.21,4.02,0.264,2.731,0.25,2.296,-,False
Ql4i,15.0,20.0,2,27,1.5455065827132226,0.0,0.0,8.57,0.0,0.0,8.36,4.163,2.731,1.04,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,3,202,11.562678878076703,12.4,12.3,3.44,12.38,12.44,3.95,0.236,2.731,0.25,2.296,-,False
Ql4i,15.0,20.0,4,23,1.316542644533486,0.0,0.0,8.87,0.0,0.0,9.06,3.732,2.731,0.932,2.296,TRANSITIONS,True
Ql4i,15.0,20.0,5,0,0.0,0.0,0.0,0.28,0.0,0.0,0.1,1.056,2.731,4.0,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,6,2,0.11448196908986835,0.0,0.0,0.29,0.0,0.0,0.13,1.059,2.731,4.216,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,7,2,0.11448196908986835,0.0,0.0,0.31,0.0,0.0,0.14,0.945,2.731,3.984,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,8,0,0.0,0.0,0.0,0.3,0.0,0.0,0.13,0.947,2.731,3.774,2.296,FLOOR-UNSTABLE,True
Ql4i,15.0,20.0,9,13,0.7441327990841442,0.0,0.0,8.96,0.0,0.0,7.17,4.0,2.731,0.944,2.296,TRANSITIONS,True
